utterance_id,source,split,tts_text_maithili,chunk_duration_sec,audio_path,sample_rate,num_samples
lexmodi_original_2h20m_10m__chunk_0015,lexmodi_original_2h20m_10m,test,पुञ्ज ल क फिरैत रहैत छथि। हम ई नहिं मानैत छी जे जानकारी केँ ज्ञान कहब सही अछि।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0015.wav,16000,104704
lexmodi_original_2h20m_10m__chunk_0016,lexmodi_original_2h20m_10m,test,अहाँक प्रसिद्धि एकटा निर्णायक नेताक रूपमे छैक।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0016.wav,16000,65536
lexmodi_original_2h20m_10m__chunk_0017,lexmodi_original_2h20m_10m,test,प्रक्रिया।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0017.wav,16000,15616
lexmodi_original_2h20m_10m__chunk_0018,lexmodi_original_2h20m_10m,test,एहि पाछू बहुत रास गप अछि। शायद हम हिंदुस्तान मे एकटा एहन नेता छी जे हमर देशक,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0018.wav,16000,133632
lexmodi_original_2h20m_10m__chunk_0019,lexmodi_original_2h20m_10m,test,पचासी स नब्बे प्रतिशत जिला,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0019.wav,16000,44544
lexmodi_original_2h20m_10m__chunk_0020,lexmodi_original_2h20m_10m,test,"ओकरा सँ जे हमरा भेटल अछि, ओ जे हम सिखने छी, तँ हमरा लग ग्रास रूट लेभल पर बात सभक स्थितिसभक सम्बन्ध मे ओ एकटा बहुत पैघ सीधा",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0020.wav,16000,186624
lexmodi_original_2h20m_10m__chunk_0021,lexmodi_original_2h20m_10m,test,अवलोकन शासन,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0021.wav,16000,20992
lexmodi_original_2h20m_10m__chunk_0022,lexmodi_original_2h20m_10m,test,"हमरा कोनो तरहक बोझ नहि अछि जेकरा ल क हमरा दबल रहय पड़ैत अछि आ नहि ओकरे आधार पर हमर चलब अछि। तेसर, निर्णय लेबामे हमर",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0022.wav,16000,179968
lexmodi_original_2h20m_10m__chunk_0023,lexmodi_original_2h20m_10m,test,"तय करबामे हमर एकटा तराजू छैक: हमर देश सबसँ पहिने। हम जे किछु क रहल छी, ओ सँ हमर देश केँ नुकसान त नहि भ रहल छैक?",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0023.wav,16000,174080
lexmodi_original_2h20m_10m__chunk_0024,lexmodi_original_2h20m_10m,test,"जेना की अहाँकेँ कोनो निर्णय लैत काल कोनो उलझन होइ तँ, अहाँ कोनो गरीबक मुँह तकिया लिअ, ओकरा याद करू आ सोचू जे ई ओकरा काज आयत की?",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0024.wav,16000,220416
lexmodi_original_2h20m_10m__chunk_0025,lexmodi_original_2h20m_10m,test,"जे भाई, अहाँ सामान्य लोककेँ तँ मोन करू जे अखन हम जे कऽ रहल छी, ओकर दोसर पक्ष ई अछि जे हम बहुत बेसी वेल कनेक्टेड छी, हमर",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0025.wav,16000,206848
lexmodi_original_2h20m_10m__chunk_0026,lexmodi_original_2h20m_10m,test,"ओकरा सभकें हमरा प्रति दाहो होइत हेतै, आ ओकरा सभकें कष्टो होइत हेतै, आ ओकर कारण ई अछि जे हमर जानकारीक चैनल सभ बहुत बेसी",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0026.wav,16000,186624
lexmodi_original_2h20m_10m__chunk_0027,lexmodi_original_2h20m_10m,test,आ एहि लेल हमरा चीज सभक जानकारी बहुत रास आन-आन ठाम सँ भेटि जाइत अछि।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0027.wav,16000,111360
lexmodi_original_2h20m_10m__chunk_0028,lexmodi_original_2h20m_10m,test,सूचना पदाधिकारी,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0028.wav,16000,28416
lexmodi_original_2h20m_10m__chunk_0029,lexmodi_original_2h20m_10m,test,"तँ हम विद्यार्थीक भाव सँ ओकरा सँ पुछैत छियनि जे, अहाँ नीक जकाँ हमरा बताउ भैया, कोना चलि रहल अछि? फेर की सब भेल?",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0029.wav,16000,174848
lexmodi_original_2h20m_10m__chunk_0030,lexmodi_original_2h20m_10m,test,"ओकरा बहुत बारीकी सँ, अनेक प्रकार सँ मंथन करय पड़ै छै। तँ एना करय सँ एकटा अमृत निकलय, ओहि तरहक हमर कोशिश रहैत अछि।",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0030.wav,16000,190976
lexmodi_original_2h20m_10m__chunk_0031,lexmodi_original_2h20m_10m,test,"दोसर, जखन हम कोनो निर्णय लैत छी, हमरा लगैत अछि जे हाँ, ई करबाक लेल ठीक अछि, तखन हम समान सोचवला लोक सभ जे छथि, हुनका सभक संग",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0031.wav,16000,190720
lexmodi_original_2h20m_10m__chunk_0032,lexmodi_original_2h20m_10m,test,"हल्के-फुल्के बातमे हम अपन बात राखैत छी, हुनकरो प्रतिक्रिया देखैत छी जे निर्णयक की होयत, आ फेर जखन हमरा विश्वास भऽ जाए",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0032.wav,16000,189440
lexmodi_original_2h20m_10m__chunk_0033,lexmodi_original_2h20m_10m,test,प्रक्रिया समय गति,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0033.wav,16000,27904
lexmodi_original_2h20m_10m__chunk_0034,lexmodi_original_2h20m_10m,test,"निर्णय किना लेल जाइत छलैक, ओहि विषय पर आब जखन हमरा सँ भेटैत छथि, तखन तरह - तरहक उदाहरण दैत छलाह जे फलाँ देश ई कए देलक, चिलाँ देश",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0034.wav,16000,190208
lexmodi_original_2h20m_10m__chunk_0035,lexmodi_original_2h20m_10m,test,"तूहो करू, तूहो करू, सभटा पैघ-पैघ अर्थशास्त्री सब मिलिकऽ हमरा माथ खताबैत छलथि। राजनीतिक दल सब हमरा पर दबाव दैत छलथि जे एतेक टका दियौ, एतेक टका।",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0035.wav,16000,223744
lexmodi_original_2h20m_10m__chunk_0037,lexmodi_original_2h20m_10m,test,"रोज़मर्राक जरूरत लेल सामाजिक तनाव नयँ होमय देब, अहिना किछु हमर मनमे भाव तय भेल। सगरो दुनिया तँ लॉकडाउनमे पड़ल छल, दुनियाक अर्थव्यवस्था पूरा तरहेँ बैस गेल छल।",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0037.wav,16000,227840
lexmodi_original_2h20m_10m__chunk_0039,lexmodi_original_2h20m_10m,test,विशेषज्ञक राय,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0039.wav,16000,23808
lexmodi_original_2h20m_10m__chunk_0040,lexmodi_original_2h20m_10m,test,कोविडक तुरंत बाद महंगाई आयल।,15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0040.wav,16000,45312
lexmodi_original_2h20m_10m__chunk_0041,lexmodi_original_2h20m_10m,test,"कोविडक बाद हमर देश एहन स्थिति नहि देखलक। हमर देश आइ लगातार दुनियाक पैघ अर्थव्यवस्था सभमे तेज गति सँ प्रगति करय वला अछि, ओकर मूल",15.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0041.wav,16000,197376
lexmodi_original_2h20m_10m__chunk_0042,lexmodi_original_2h20m_10m,test,ओकर मूल कारण ओहि संकटक समयमे बड़ धैर्यक संग कोनो दुनिया भरिक थ्योरी लागू करबाक मोहमे पड़ल बिना अखबारवला सभकेँ,12.0,/home/vishal/assignment2-final/stage3_tts/artifacts/synth_chunks/lexmodi_mms_fluent/lexmodi_original_2h20m_10m__chunk_0042.wav,16000,182528
