utterance_id,audio_path,source,split,chunk_start_sec,chunk_end_sec,chunk_duration_sec,source_text,target_maithili,dictionary_coverage,target_maithili_fluent,tts_text_maithili,tts_word_budget
lexmodi_original_2h20m_10m__chunk_0011,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0011.wav,lexmodi_original_2h20m_10m,test,154.000,169.000,15.000,So cut off नहीं होता है। श्रीनिवास रामानुजम कहते थे कि उन्हें उस देवी से आते हैं जिसकी वो पूजा करते हैं।,So cut off नहीं होता अछि श्रीनिवास रामानुजम कहैत थे जे हुनका उस देवी से अबैत हैं जेकर ओ पूजा करैत हैं।,0.4091,तेँ संबंध नहि टूटैत छै। श्रीनिवास रामानुजन कहने छलाह जे हुनका ओहि देवीसँ आबय छनि जेकरि ओ पूजा करैत छथि।,तेँ संबंध नहि टूटैत छै। श्रीनिवास रामानुजन कहने छलाह जे हुनका ओहि देवीसँ आबय छनि जेकरि ओ पूजा करैत छथि।,22
lexmodi_original_2h20m_10m__chunk_0012,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0012.wav,lexmodi_original_2h20m_10m,test,168.000,183.000,15.000,any idea hard work devote,कोनो idea hard काज समर्पित करब,0.6000,कठिन परिश्रम समर्पित करबाक संबंधमे कोनो विचार?,कठिन परिश्रम समर्पित करबाक संबंधमे कोनो,6
lexmodi_original_2h20m_10m__chunk_0013,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0013.wav,lexmodi_original_2h20m_10m,test,182.000,197.000,15.000,knowledge sources open,ज्ञान sources open,0.3333,ज्ञानक स्रोत सब खुलल अछि।,ज्ञानक स्रोत सब खुलल अछि।,6
lexmodi_original_2h20m_10m__chunk_0014,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0014.wav,lexmodi_original_2h20m_10m,test,196.000,211.000,15.000,हमारे पास उतने ही ज्यादा आएंगे। हमें और के बीच में फर्क करना भी समझना चाहिए। कुछ लोग को मानते हैं और का बहुत बड़ा पुंज लेकर के घूमते,हमारे लग उतने एहो ज्यादा आएंगे। हमें और के बीच में फरक करब भी बुझब चाहिए। किछु लोक को मानब हैं और का बहुत पैघ पुंज लेकर के घूमते,0.3793,हमरा सभक लग ओतबे बेसी आयत। हमरा सभकें आन-आन वस्तु/लोकनिक बीच फरक करब सेहो बुझबाक चाही। किछु लोक किछोकेँ मानैत छथि आ ओकरे बहुत पैघ पुंज ल' क' घूमैत छथि।,हमरा सभक लग ओतबे बेसी आयत। हमरा सभकें आन-आन वस्तु लोकनिक बीच फरक करब सेहो बुझबाक चाही।,28
lexmodi_original_2h20m_10m__chunk_0015,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0015.wav,lexmodi_original_2h20m_10m,test,210.000,225.000,15.000,पुंज लेकर के घूमते रहते हैं मैं नहीं मानता हूं कि information का मतलब knowledge करना Knowledge एक एक विधा है जो एक processing के बाद धीरे-धीरे-धीरे evolve होती है और उसको हमने उस,पुंज लेकर के घूमते रहते हैं मैं नहीं मानता छी जे जानकारी का मतलब ज्ञान करब ज्ञान एक एक विधा है जे एक processing के बाद धीरे - धीरे - धीरे evolve होइत है और ओकरा हम उस,0.4722,"पुञ्ज ल'क' फिरैत रहैत छथि। हम ई नहिं मानैत छी जे जानकारी केँ ज्ञान कहब सही अछि। ज्ञान एकटा विधा थिक, जे एकटा प्रोसेसिंग क' बाद धीरे-धीरे विकसित होइत अछि। आ ओकरा हमरा लोकनि ओहि...",पुञ्ज ल क फिरैत रहैत छथि। हम ई नहिं मानैत छी जे जानकारी केँ ज्ञान कहब सही अछि।,28
lexmodi_original_2h20m_10m__chunk_0016,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0016.wav,lexmodi_original_2h20m_10m,test,224.000,239.000,15.000,"handle You have a reputation for being a decisive leader. So, can you walk me through on this topic of ideas, how you make decisions, what's your process?","handle You have a प्रतिष्ठा for being a निर्णायक नेता. So, can you चलब me सँ होइत on this विषय of विचार, कोना you बनाबय निर्णयसभ, what ' s your प्रक्रिया?",0.3793,"अहाँक प्रसिद्धि एकटा निर्णायक नेताक रूपमे छैक। तँ, एहि विचारसभक विषय पर, अहाँ निर्णय कोना लैत छी आ अहाँक प्रक्रिया की छैक, से हमरा विस्तार सँ बता सकय छी की?",अहाँक प्रसिद्धि एकटा निर्णायक नेताक रूपमे छैक।,28
lexmodi_original_2h20m_10m__chunk_0017,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0017.wav,lexmodi_original_2h20m_10m,test,238.000,253.000,15.000,"process. So for instance when facing a high stakes choice, uh with no clear precedence, you know, a lot of uncertainty, having to balance inputs, how do you make decisions?","प्रक्रिया. So for उदाहरण when सामना करैत a ऊँच दाँव विकल्प, uh with no स्पष्ट प्राथमिकता, you जानब, a बहुत of अनिश्चितता, having to संतुलन inputs, कोना do you बनाबय निर्णयसभ?",0.5000,"प्रक्रिया। तँ मानू जेना, जखन अहाँ कोनो एहन महत्वपूर्ण निर्णय सँ सामना करैत छी, जतय बहुत किछु दाँव पर लागल हो, कोनो स्पष्ट पूर्व उदाहरण नहि हो, बहुतो अनिश्चितता हो, आ सभ जानकारी केँ संतुलित करबाक हो, तखन अहाँ फैसला केना करैत छी?",प्रक्रिया।,28
lexmodi_original_2h20m_10m__chunk_0018,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0018.wav,lexmodi_original_2h20m_10m,test,252.000,267.000,15.000,बहुत सी बातें हैं इसके पीछे एक शायद हिंदुस्तान में मैं एक ऐसा politician हूं जो मेरे देश के,बहुत सी बातें हैं इसके पाछू एक शायद भारत में मैं एक एहन politician छी जे हमर देश के,0.5789,एहि पाछू बहुत रास गप अछि। शायद हम हिंदुस्तान मे एकटा एहन नेता छी जे हमर देशक,एहि पाछू बहुत रास गप अछि। शायद हम हिंदुस्तान मे एकटा एहन नेता छी जे हमर देशक,19
lexmodi_original_2h20m_10m__chunk_0019,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0019.wav,lexmodi_original_2h20m_10m,test,266.000,281.000,15.000,85 to 90% district,85 to 90 % district,0.0000,पचासी स नब्बे प्रतिशत जिला,पचासी स नब्बे प्रतिशत जिला,6
lexmodi_original_2h20m_10m__chunk_0020,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0020.wav,lexmodi_original_2h20m_10m,test,280.000,295.000,15.000,"उससे जो मैंने पाया है, वो जो सीखा है, तो मेरे पास वो एक बहुत बड़ा चीजों को grass root level पर स्थितियों के विषय में मेरी first hand information है।","ओहि सँ जे हम पेलनि है, ओ जे सीखा है, तो हमर लग ओ एक बहुत पैघ चीजसभ को grass root level पर स्थितिसभ के विषय में हमर first hand जानकारी अछि",0.5484,"ओकरा सँ जे हमरा भेटल अछि, ओ जे हम सिखने छी, तँ हमरा लग ग्रास रूट लेभल पर बात सभक स्थितिसभक सम्बन्ध मे ओ एकटा बहुत पैघ सीधा जानकारी अछि।","ओकरा सँ जे हमरा भेटल अछि, ओ जे हम सिखने छी, तँ हमरा लग ग्रास रूट लेभल पर बात सभक स्थितिसभक सम्बन्ध मे ओ एकटा बहुत पैघ सीधा",28
lexmodi_original_2h20m_10m__chunk_0021,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0021.wav,lexmodi_original_2h20m_10m,test,294.000,309.000,15.000,observation governance,observation शासन,0.5000,अवलोकन शासन,अवलोकन शासन,6
lexmodi_original_2h20m_10m__chunk_0022,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0022.wav,lexmodi_original_2h20m_10m,test,308.000,323.000,15.000,प्रकार का baggage नहीं है कि जिस baggage को लेकर के मुझे दबे रहना है उसके आधार पर मेरा चलना है वो नहीं है तीसरा निर्णय करने में मेरा,प्रकार का सामान नहीं है जे जिस सामान को लेकर के हमरा दबे रहना है ओकरा आधार पर मोर चलना है ओ नहीं है तेसर निर्णय करबाक में मोर,0.3448,"हमरा कोनो तरहक बोझ नहि अछि जेकरा ल'क' हमरा दबल रहय पड़ैत अछि आ नहि ओकरे आधार पर हमर चलब अछि। तेसर, निर्णय लेबामे हमर","हमरा कोनो तरहक बोझ नहि अछि जेकरा ल क हमरा दबल रहय पड़ैत अछि आ नहि ओकरे आधार पर हमर चलब अछि। तेसर, निर्णय लेबामे हमर",28
lexmodi_original_2h20m_10m__chunk_0023,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0023.wav,lexmodi_original_2h20m_10m,test,322.000,337.000,15.000,तय करने में मेरा एक तराजू है मेरा देश सबसे पहले मैं जो कर रहा हूं मेरे देश का नुकसान तो नहीं हो रहा है दूसरा हमारे यहां महात्मा गांधी कहते थे कि भई तुम्हें कोई,तय करबाक में मोर एक तराजू है मोर देश सभसँ पहिने मैं जे करि रहल छी हमर देश का नुकसान तो नहीं होइ रहल है दोसर हमारे यहां महात्मा गांधी कहैत थे जे भई तोरा कोनो,0.5833,"तय करबामे हमर एकटा तराजू छैक: हमर देश सबसँ पहिने। हम जे किछु क' रहल छी, ओ सँ हमर देश केँ नुकसान त' नहि भ' रहल छैक? दोसर, हमरा लोकनिक एतय महात्मा गांधी कहैत छलाह जे भाई अहाँकेँ कोनो","तय करबामे हमर एकटा तराजू छैक: हमर देश सबसँ पहिने। हम जे किछु क रहल छी, ओ सँ हमर देश केँ नुकसान त नहि भ रहल छैक?",28
lexmodi_original_2h20m_10m__chunk_0024,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0024.wav,lexmodi_original_2h20m_10m,test,336.000,351.000,15.000,कि भई तुम्हें कोई निर्णय करते समय कोई उलझन हो तो तुम किसी गरीब का चेहरा देख लो उनको याद करो और सोचो यह उसके काम आएगा क्या तो आपका निर्णय सही होगा मुझे वह मंत्र बहुत काम आता है कि भई आप,जे भई तोरा कोनो निर्णय करैत समय कोनो उलझन होइ तो तुम कोनो गरीब का चेहरा देख लिय ओनका याद करू और सोचू यह ओकरा काज आओत कि तो आपका निर्णय सही हेत हमरा वह मंत्र बहुत काज आता है जे भई आप,0.5581,"जेना की अहाँकेँ कोनो निर्णय लैत काल कोनो उलझन होइ तँ, अहाँ कोनो गरीबक मुँह तकिया लिअ, ओकरा याद करू आ सोचू जे ई ओकरा काज आयत की? तँ अहाँक निर्णय सही हेतैक. हमरा ओ मंत्र बहुत काज अबैत अछि जेना की अहाँ","जेना की अहाँकेँ कोनो निर्णय लैत काल कोनो उलझन होइ तँ, अहाँ कोनो गरीबक मुँह तकिया लिअ, ओकरा याद करू आ सोचू जे ई ओकरा काज आयत की?",28
lexmodi_original_2h20m_10m__chunk_0025,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0025.wav,lexmodi_original_2h20m_10m,test,350.000,365.000,15.000,कि भाई आप सामान्य मानवी को तो याद करो कि अभी मैं जो कर रहा हूं उसका दूसरे प्रक्रिया जहां तक है कि मैं बहुत ही well connected हूं मेरी सरकार में मेरे अफसरों की,जे भाई आप सामान्य मानवी को तो याद करू जे अभी मैं जे करि रहल छी ओकर दोसर प्रक्रिया जहां तक है जे मैं बहुत एहो well जुड़ल छी हमर सरकार में हमर अधिकारीसभ की,0.5143,"जे भाई, अहाँ सामान्य लोककेँ तँ मोन करू जे अखन हम जे कऽ रहल छी, ओकर दोसर पक्ष ई अछि जे हम बहुत बेसी वेल कनेक्टेड छी, हमर सरकारमे हमर अधिकारीसभक...","जे भाई, अहाँ सामान्य लोककेँ तँ मोन करू जे अखन हम जे कऽ रहल छी, ओकर दोसर पक्ष ई अछि जे हम बहुत बेसी वेल कनेक्टेड छी, हमर",28
lexmodi_original_2h20m_10m__chunk_0026,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0026.wav,lexmodi_original_2h20m_10m,test,364.000,379.000,15.000,को मेरे प्रति ईर्ष्या भी होती होगी और उनको तकलीफ़ भी होती होगी और वो है मेरे information channel बहुत है और बहुत live है,को हमर प्रति ईर्ष्या भी होइत होगी और ओनका तकलीफ़ भी होइत होगी और ओ है हमर जानकारी चैनल बहुत है और बहुत live है,0.4000,"ओकरा सभकें हमरा प्रति दाहो होइत हेतै, आ ओकरा सभकें कष्टो होइत हेतै, आ ओकर कारण ई अछि जे हमर जानकारीक चैनल सभ बहुत बेसी अछि आ बहुत 'लाइव' अछि।","ओकरा सभकें हमरा प्रति दाहो होइत हेतै, आ ओकरा सभकें कष्टो होइत हेतै, आ ओकर कारण ई अछि जे हमर जानकारीक चैनल सभ बहुत बेसी",25
lexmodi_original_2h20m_10m__chunk_0027,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0027.wav,lexmodi_original_2h20m_10m,test,378.000,393.000,15.000,और इसलिए मुझे चीजों की जानकारियां बहुत सारी मिल जाती हैं और जगह से तो मुझे कोई आकर के brief करें वही अकेली information नहीं होती,और इसलिए हमरा चीजसभ की जानकारियां बहुत सारी मिल जाती हैं और जगह से तो हमरा कोनो आबि कऽ के brief करू वही अकेली जानकारी नहीं होइत,0.3462,"आ एहि लेल हमरा चीज सभक जानकारी बहुत रास आन-आन ठाम सँ भेटि जाइत अछि। तेँ कोनो हमरा आबि कऽ जँ ब्रिफ करथि, तँ ओहेटा मात्र जानकारी नहि रहैत अछि।",आ एहि लेल हमरा चीज सभक जानकारी बहुत रास आन-आन ठाम सँ भेटि जाइत अछि।,26
lexmodi_original_2h20m_10m__chunk_0028,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0028.wav,lexmodi_original_2h20m_10m,test,392.000,407.000,15.000,information officer,जानकारी officer,0.5000,सूचना पदाधिकारी,सूचना पदाधिकारी,6
lexmodi_original_2h20m_10m__chunk_0029,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0029.wav,lexmodi_original_2h20m_10m,test,406.000,421.000,15.000,तो मैं विद्यार्थी भाव से उसको पूछता हूं भई अच्छा मुझे बताओ भाई कैसे हैं फिर क्या है फिर कैसे हैं और कभी मेरे पास दूसरी information है तो मैं devil advocate बन करके उल्टे प्रश्न पूछता हूं,तो मैं विद्यार्थी भाव से ओकरा पुछैत छी भई अच्छा हमरा बताओ भाई केना हैं फेर कि है फेर केना हैं और कहियो हमर लग दूसरी जानकारी है तो मैं devil advocate बनि कए उल्टे प्रश्न पुछैत छी,0.5000,"तँ हम विद्यार्थीक भाव सँ ओकरा सँ पुछैत छियनि जे, 'अहाँ नीक जकाँ हमरा बताउ भैया, कोना चलि रहल अछि? फेर की सब भेल? फेर आगाँ की सब छैक?' आ कहियो काल जँ हमरा लग दोसर जानकारी रहैत अछि तँ हम 'डेविल एडवोकेट' बनि कऽ उल्टा प्रश्न पुछैत छी।","तँ हम विद्यार्थीक भाव सँ ओकरा सँ पुछैत छियनि जे, अहाँ नीक जकाँ हमरा बताउ भैया, कोना चलि रहल अछि? फेर की सब भेल?",28
lexmodi_original_2h20m_10m__chunk_0030,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0030.wav,lexmodi_original_2h20m_10m,test,420.000,435.000,15.000,उसको बहुत बारीकी से अनेक प्रकार से मंथन करना पड़ता है। तो ऐसा करने से एक अमृत निकले उस प्रकार की मेरी कोशिश रहती है।,ओकरा बहुत बारीकी से अनेक प्रकार से मंथन करब पड़ैत अछि तो एहन करबाक से एक अमृत निकलै उस प्रकार की हमर कोशिश रहैत अछि,0.5600,"ओकरा बहुत बारीकी सँ, अनेक प्रकार सँ मंथन करय पड़ै छै। तँ एना करय सँ एकटा अमृत निकलय, ओहि तरहक हमर कोशिश रहैत अछि।","ओकरा बहुत बारीकी सँ, अनेक प्रकार सँ मंथन करय पड़ै छै। तँ एना करय सँ एकटा अमृत निकलय, ओहि तरहक हमर कोशिश रहैत अछि।",25
lexmodi_original_2h20m_10m__chunk_0031,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0031.wav,lexmodi_original_2h20m_10m,test,434.000,449.000,15.000,दूसरा मैं जब निर्णय लेता हूं मुझे लगता है कि हां यह करने जैसा है तो फिर मैं एक सहमना जो लोग हैं मेरे विचारों को उनको share करके हल्के फुल्के,दोसर मैं जखन निर्णय लैत छी हमरा लगैत है जे हां यह करबाक जैसा है तो फेर मैं एक सामना जे लोक हैं हमर विचारसभ को ओनका share कए हल्के फुल्के,0.5484,"दोसर, जखन हम कोनो निर्णय लैत छी, हमरा लगैत अछि जे हाँ, ई करबाक लेल ठीक अछि, तखन हम समान सोचवला लोक सभ जे छथि, हुनका सभक संग अपन विचार सभ बाँटि, हल्के-फुल्के...","दोसर, जखन हम कोनो निर्णय लैत छी, हमरा लगैत अछि जे हाँ, ई करबाक लेल ठीक अछि, तखन हम समान सोचवला लोक सभ जे छथि, हुनका सभक संग",28
lexmodi_original_2h20m_10m__chunk_0032,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0032.wav,lexmodi_original_2h20m_10m,test,448.000,463.000,15.000,हल्के फुल्के शब्दों में मैं डालता हूं उनके भी reaction देखता हूं कि निर्णय का क्या होगा और मुझे फिर जब conviction बन जाए,हल्के फुल्के शब्दों में मैं डालता छी हुनक भी reaction देखैत छी जे निर्णय का कि हेत और हमरा फेर जखन दृढ विश्वास बनि जाइ,0.5417,"हल्के-फुल्के बातमे हम अपन बात राखैत छी, हुनकरो प्रतिक्रिया देखैत छी जे निर्णयक की होयत, आ फेर जखन हमरा विश्वास भऽ जाए","हल्के-फुल्के बातमे हम अपन बात राखैत छी, हुनकरो प्रतिक्रिया देखैत छी जे निर्णयक की होयत, आ फेर जखन हमरा विश्वास भऽ जाए",24
