source,source_type,target_maithili,target_script,notes
lot,candidate,बहुत,Devanagari,"much, many"
uncertainty,candidate,अनिश्चितता,Devanagari,state of being uncertain
balance,candidate,संतुलन,Devanagari,equilibrium (noun)
input,candidate,आगत,Devanagari,"data, contribution (technical/general)"
शायद,candidate,शायद,Devanagari,"perhaps, maybe (common in Maithili too)"
हिंदुस्तान,candidate,भारत,Devanagari,India (formal Maithili name)
पोलिटिशन,candidate,राजनेता,Devanagari,"statesman, politician (formal)"
distance,candidate,दूरी,Devanagari,extent of space between two points
उससे,candidate,ओहि सँ,Devanagari,from that/him/her
पाया,candidate,पेलनि,Devanagari,found/received (past tense verb)
सिखा,candidate,सिखलनि,Devanagari,learned (past tense verb)
बड़ा,candidate,पैघ,Devanagari,"big, large"
चीजों,candidate,चीजसभ,Devanagari,things (plural)
ग्रास्रूट,candidate,जमीनी स्तर,Devanagari,grassroots (literal translation)
लेवल,candidate,स्तर,Devanagari,level (noun)
स्थितियों,candidate,स्थितिसभ,Devanagari,situations (plural)
perspective,candidate,दृष्टिकोण,Devanagari,point of view
governance,candidate,शासन,Devanagari,act of governing
don,candidate,डॉन,Devanagari,"transliteration of English 'don' (e.g., as a title or name)"
any,candidate,कोनो,Devanagari,"any, some"
kind,candidate,प्रकार,Devanagari,"type, sort"
baggage,candidate,सामान,Devanagari,"luggage, belongings"
मेरा,candidate,मोर,Devanagari,"my, mine (masculine singular)"
सबसे,candidate,सभसँ,Devanagari,"most, from all"
पहले,candidate,पहिने,Devanagari,"first, before"
रहा,candidate,रहल,Devanagari,"remained, stayed (past auxiliary)"
वेरे,candidate,हमर,Devanagari,"my, mine (assuming 'मेरे')"
दिश,candidate,दिस,Devanagari,"direction, side"
नुक्षान,candidate,नुकसान,Devanagari,"loss, damage (from 'नुकसान')"
रखा,candidate,राखल,Devanagari,"kept, placed"
हमारी,candidate,हमर,Devanagari,"our, ours"
महत्मा,candidate,महात्मा,Devanagari,great soul (from 'महात्मा')
गांधी,candidate,गांधी,Devanagari,proper noun
तुम्हें,candidate,तोरा,Devanagari,to you (informal)
निर्णे,candidate,निर्णय,Devanagari,decision (from 'निर्णय')
समय,candidate,समय,Devanagari,time
उल्जन,candidate,उलझन,Devanagari,"confusion, entanglement (from 'उलझन')"
किसी,candidate,कोनो,Devanagari,"any, someone"
गरीपे,candidate,गरीब,Devanagari,poor (from 'गरीब')
चेहरा,candidate,चेहरा,Devanagari,face
देख,candidate,देख,Devanagari,"see, look (verb root)"
लो,candidate,लिय,Devanagari,take (imperative)
इनको,candidate,इन्हका,Devanagari,to them/these
याद,candidate,याद,Devanagari,"memory, recollection"
करो,candidate,करू,Devanagari,do (imperative)
सोचो,candidate,सोचू,Devanagari,Maithili imperative for 'think'.
उसके,candidate,ओकरा,Devanagari,Maithili for 'to him/her/it' or 'his/her/its'.
आएगा,candidate,आओत,Devanagari,Maithili future tense for 'will come'.
तब,candidate,तखन,Devanagari,Maithili equivalent for 'then'.
नेड़े,candidate,निकट,Devanagari,Maithili for 'near'.
प्रक्रियाजे,candidate,प्रक्रिया,Devanagari,Maithili for 'process'.
सहातर,candidate,मदद,Devanagari,Maithili for 'help/support'.
कहें,candidate,कहु,Devanagari,Maithili imperative for 'say/tell'.
बैल,candidate,बैल,Devanagari,Maithili for 'ox/bull'.
कनेक्टेड,candidate,कनेक्टेड,Devanagari,Transliteration of English 'connected'.
सरकान,candidate,सरकार,Devanagari,Maithili for 'government'.
अफसरों,candidate,अधिकारीसभ,Devanagari,Maithili plural for 'officers'.
प्रते,candidate,प्रति,Devanagari,Maithili for 'towards/per'.
इर्शा,candidate,ईर्ष्या,Devanagari,Maithili for 'jealousy'.
ओगी।,candidate,होयत,Devanagari,Maithili for 'will be/happen'.
तकलीब,candidate,कष्ट,Devanagari,Maithili for 'trouble/difficulty'.
हुगी,candidate,होयत,Devanagari,Maithili for 'will be/happen'.
औड़,candidate,आ,Devanagari,Maithili for 'and'.
channel,candidate,चैनल,Devanagari,Transliteration of English 'channel'.
लाई,candidate,आनल,Devanagari,Maithili for 'brought'.
हुए,candidate,भए,Devanagari,Maithili participle for 'having been'.
आकर,candidate,आबि कऽ,Devanagari,Maithili conjunctive participle for 'having come'.
ब्रीप,candidate,ब्रीफ,Devanagari,Transliteration of English 'brief'.
होते,candidate,होइत,Devanagari,Maithili imperfect participle for 'while being/happening'.
डेविल,candidate,डेविल,Devanagari,Transliteration of English 'devil'.
एरगोर्केट,candidate,एरगोर्केट,Devanagari,Transliteration of given term
बंद,candidate,बन्द,Devanagari,Common Maithili word
उल्टे,candidate,उल्टे,Devanagari,Common Maithili word
पूछता,candidate,पुछैत,Devanagari,Maithili for 'asking' (verb form)
हूं,candidate,छी,Devanagari,Maithili for 'am'
बारी,candidate,बारी,Devanagari,Common Maithili word for 'turn'
किसे,candidate,केकरा,Devanagari,Maithili for 'to whom'
एलेक,candidate,एलेक,Devanagari,Transliteration of given term (name)
प्रकरते,candidate,प्रकटैत,Devanagari,Maithili for 'appearing' (verb form)
मन्थन,candidate,मन्थन,Devanagari,Common Maithili word for 'churning'
करना,candidate,करब,Devanagari,Maithili infinitive 'to do'
पड़ता,candidate,पड़ैत,Devanagari,"Maithili for 'falls, has to' (verb form)"
अमृत,candidate,अमृत,Devanagari,Common Maithili word for 'nectar'
निकले,candidate,निकलै,Devanagari,Maithili for 'comes out' (verb form)
इस,candidate,ई,Devanagari,Maithili for 'this'
कहा,candidate,कहल,Devanagari,Maithili for 'said'
कोशिश,candidate,कोशिश,Devanagari,Common Maithili word for 'try'
हैती,candidate,होइत,Devanagari,"Maithili for 'happens, is' (verb form)"
निर्णाई,candidate,निर्णय,Devanagari,Maithili for 'decision'
लेता,candidate,लैत,Devanagari,Maithili for 'takes' (verb form)
लगता,candidate,लगैत,Devanagari,"Maithili for 'feels, seems' (verb form)"
जाता,candidate,जाइत,Devanagari,Maithili for 'goes' (verb form)
सहमना,candidate,सामना,Devanagari,"Maithili for 'facing, confrontation'"
विचारों,candidate,विचारसभ,Devanagari,Maithili for 'thoughts' (plural)
शेर,candidate,शेर,Devanagari,Common Maithili word for 'lion'
हलके,candidate,हल्लुकसँ,Devanagari,for lightly/gently
रियक्शन,candidate,प्रतिक्रिया,Devanagari,reaction
देखता,candidate,देखैत,Devanagari,present participle for seeing/looking
होगा,candidate,हेत,Devanagari,will be/would be
conviction,candidate,दृढ विश्वास,Devanagari,firm belief; can also be दोषसिद्धि for legal conviction
बन,candidate,बनि,Devanagari,root for 'to become/be made'
जाए,candidate,जाइ,Devanagari,to go/become
doesn,candidate,नहिं,Devanagari,"negation particle, 'not'"
take,candidate,लेब,Devanagari,to take
much,candidate,बेसी,Devanagari,much/more
speed,candidate,गति,Devanagari,speed
कैसे,candidate,केना,Devanagari,how
लिये,candidate,लेल,Devanagari,for/for the sake of
अब,candidate,एखन,Devanagari,now
nobel,candidate,नोबेल,Devanagari,transliterated proper noun
prize,candidate,पुरस्कार,Devanagari,prize/award
विनर,candidate,विजेता,Devanagari,winner
मिलते,candidate,मिलैत,Devanagari,present participle for meeting/getting
भागबाद,candidate,भाग्यबाद,Devanagari,fatalism
उदान,candidate,उदान,Devanagari,"philosophical concept/vital air, or generous gift"
देते,candidate,दैत,Devanagari,present participle for giving
कल,candidate,काल्हि,Devanagari,yesterday/tomorrow
पार्टिया,candidate,पार्टीसभ,Devanagari,parties (plural)
प्रिशर,candidate,दबाव,Devanagari,pressure
करती,candidate,करैत,Devanagari,present participle for doing
इतना,candidate,एतेक,Devanagari,Common Maithili equivalent
पैसा,candidate,टाका,Devanagari,Common Maithili equivalent for money/coin
दे,candidate,दिअ,Devanagari,Common Maithili imperative verb form
अपनी,candidate,अपन,Devanagari,Common Maithili possessive adjective
परिस्थिति,candidate,परिस्थिति,Devanagari,Common academic borrowing
अनुसार,candidate,अनुसार,Devanagari,Common academic borrowing
निलने,candidate,पाबय,Devanagari,Interpreted as 'मिलने' (to get/obtain)
समाजिक,candidate,सामाजिक,Devanagari,"Common academic borrowing, corrected spelling"
तनाव,candidate,तनाव,Devanagari,Common academic borrowing
पैदा,candidate,उत्पन्न,Devanagari,Common academic borrowing for 'produced/created'
होने,candidate,होबय,Devanagari,Common Maithili infinitive verb form
दूँगा।,candidate,देब,Devanagari,"Maithili future tense, 1st person singular. Full stop excluded."
ऐसे,candidate,एहन,Devanagari,Common Maithili demonstrative adjective
मन,candidate,मन,Devanagari,Common Maithili word
भावकताए,candidate,भावनासभ,Devanagari,Maithili plural for 'emotions'
हुये,candidate,भेल,Devanagari,Maithili past participle form for 'happened/became'
डाउन,candidate,डाउन,Devanagari,Transliterated English loanword
पड़ी,candidate,खसल,Devanagari,Maithili past participle for 'fall'
इकणां,candidate,हुनक,Devanagari,Interpreted as a variant of 'इनका' (their/his/her)
पूरी,candidate,पूरा,Devanagari,Common Maithili adjective
तरह,candidate,तरह,Devanagari,Common word in Maithili for 'way/manner'
दुनिया,candidate,दुनिया,Devanagari,Common Maithili word
बैट,candidate,बैसल,Devanagari,"Interpreted as 'बैठ' (to sit), Maithili past participle"
चुकी,candidate,चुकल,Devanagari,Maithili perfective auxiliary
ठी,candidate,छल,Devanagari,"Maithili past tense auxiliary, corrected spelling of 'थी'"
heard,candidate,सुनल,Devanagari,common past participle
opinions,candidate,विचार,Devanagari,general term for views
experts,candidate,विशेषज्ञ,Devanagari,for specialists
tried,candidate,प्रयास कएल,Devanagari,past participle verb form
understand,candidate,बुझब,Devanagari,infinitive verb
oppose,candidate,विरोध करब,Devanagari,infinitive verb
combined,candidate,संयुक्त,Devanagari,"adjective, joined together"
country,candidate,देश,Devanagari,nation
situation,candidate,स्थिति,Devanagari,state of affairs
own,candidate,अपन,Devanagari,possessive adjective
experience,candidate,अनुभव,Devanagari,personal knowledge
mixed,candidate,मिश्रित,Devanagari,"adjective, combined elements"
developed,candidate,विकसित,Devanagari,"adjective, grown or advanced"
things,candidate,चीज,Devanagari,general term for objects
system,candidate,प्रणाली,Devanagari,organized structure
because,candidate,किएक तँ,Devanagari,"conjunction, for that reason"
inflation,candidate,मुद्रास्फीति,Devanagari,economic term
world,candidate,विश्व,Devanagari,the earth and people
immediately,candidate,तुरन्त,Devanagari,without delay
after,candidate,बाद,Devanagari,subsequent to
covid,candidate,कोविड,Devanagari,transliteration of term
तेज,candidate,तेज,Devanagari,"Maithili word for 'fast', 'sharp'"
गती,candidate,गति,Devanagari,"Maithili word for 'speed', 'motion'"
प्रगधी,candidate,प्रगति,Devanagari,Maithili word for 'progress'
वाला,candidate,वाला,Devanagari,Maithili suffix 'possessor' or 'agent'
उसका,candidate,ओकर,Devanagari,Maithili equivalent for 'his/her/its'
मूल,candidate,मूल,Devanagari,Maithili equivalent; means root/original
कारण,candidate,कारण,Devanagari,Maithili equivalent; means reason/cause
vishwan miriam,candidate,विश्वान मेरियम,Devanagari,Transliteration of proper names.
miriam मेरी,candidate,मेरियम मेरी,Devanagari,Transliteration of name and Maithili for 'my'.
मेरी आँख,candidate,हमर आँखि,Devanagari,Maithili for 'my eye'.
आँख सामने,candidate,आँखि सोझाँ,Devanagari,Maithili for 'eye in front'.
सामने जो,candidate,सोझाँ जे,Devanagari,Maithili for 'in front of that'.
जो चीज़े,candidate,जे चीज सभ,Devanagari,Maithili for 'those things'.
चीज़े वो,candidate,चीज सभ ओ,Devanagari,Maithili for 'things that/he/she'.
वो ही,candidate,ओएह,Devanagari,Maithili for 'that very one'.
ही मुझे,candidate,हमराए,Devanagari,Maithili for 'only me'.
मुझे मोटिवेट,candidate,हमरा मोटिवेट,Devanagari,Maithili pronoun + transliterated English verb.
मोटिवेट करते,candidate,मोटिवेट करैत,Devanagari,Transliterated verb + Maithili present participle.
करते रहती,candidate,करैत रहैत,Devanagari,Maithili present continuous construction.
रहती दूसरा,candidate,रहैत दोसर,Devanagari,Maithili equivalents for 'continues other'.
दूसरा जो,candidate,दोसर जे,Devanagari,Maithili equivalents for 'other that'.
जो जिम्मेबारी,candidate,जे जिम्मेवारी,Devanagari,Maithili equivalents for 'that responsibility'.
जिम्मेबारी देशवास्वे,candidate,जिम्मेवारी देशवासी,Devanagari,Maithili for 'responsibility countrymen'.
देशवास्वे ने,candidate,देशवासी,Devanagari,Maithili for 'countrymen'; 'ne' marker omitted.
ने मुझे,candidate,हमरा,Devanagari,Maithili for 'me'; 'ne' marker omitted.
मुझे दी,candidate,हमरा देलनि,Devanagari,Maithili for 'gave me' (honorific/plural subject).
दी है।,candidate,देलनि अछि।,Devanagari,Maithili perfect tense construction.
है। कि,candidate,अछि जे,Devanagari,Maithili equivalents for 'is that'.
कि पद,candidate,जे पद,Devanagari,Maithili equivalents for 'that post'.
पद मौज,candidate,पद मौज,Devanagari,Maithili for 'post enjoyment'.
मौज मस्ती,candidate,मौज मस्ती,Devanagari,Common Maithili phrase for 'fun and frolic'.
मस्ती करने,candidate,मस्ती करबाक,Devanagari,Maithili infinitive for 'to do fun'.
करने लिए,candidate,करबाक लेल,Devanagari,Common phrase for 'to do for'.
लिए आया।,candidate,लेल आयल।,Devanagari,Common phrase for 'came for'.
आया। मेरी,candidate,आयल। हमर,Devanagari,Common phrase for 'came. My'.
मेरी जरब,candidate,हमर काज,Devanagari,'जरब' interpreted as 'job' (काज).
जरब पुरा,candidate,काज पूरा,Devanagari,'जरब' interpreted as 'job' (काज).
पुरा प्रहास,candidate,पूरा प्रयास,Devanagari,'प्रहास' interpreted as 'प्रयास' (effort).
प्रहास करूँगा,candidate,प्रयास करब,Devanagari,'प्रहास' interpreted as 'प्रयास' (effort).
करूँगा हो,candidate,करब। भ',Devanagari,'हो' as part of 'हो सकता'.
हो सकता,candidate,भ' सकैत अछि,Devanagari,Common phrase for 'it might be'.
सकता दो,candidate,सकैत अछि दू,Devanagari,Common phrase for 'might be two'.
दो काम,candidate,दू काज,Devanagari,Common phrase for 'two tasks'.
काम बग,candidate,काज बग,Devanagari,'बग' transliterated.
